aa_int1,aa_int2,aa_quiz1,aa_quiz2,aa_quiz3,aa_quiz4,aa_regret,aa_joy,ai_int1,ai_int2,ai_quiz1,ai_quiz2,ai_quiz3,ai_quiz4,ai_regret,ai_joy,ia_int1,ia_int2,ia_quiz1,ia_quiz2,ia_quiz3,ia_quiz4,ia_regret,ia_joy,ii_int1,ii_int2,ii_quiz1,ii_quiz2,ii_quiz3,ii_quiz4,ii_regret,ii_joy,age,gender
1,1,1,1,1,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , ,50,2
1,1,1,1,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,31,2
 , , , , , , , ,1,1,1,2,1,2,6,6, , , , , , , , , , , , , , , , ,45,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,4,21,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,1,5, , , , , , , , ,35,1
1,1,1,1,1,2,3,5, , , , , , , , , , , , , , , , , , , , , , , , ,20,2
1,1,1,1,1,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , ,28,1
 , , , , , , , ,1,1,1,2,1,2,2,5, , , , , , , , , , , , , , , , ,25,2
 , , , , , , , ,1,1,1,2,1,2,3,1, , , , , , , , , , , , , , , , ,26,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,5,3, , , , , , , , ,51,2
1,1,1,1,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,64,1
 , , , , , , , ,1,1,1,2,1,2,1,4, , , , , , , , , , , , , , , , ,24,1
 , , , , , , , ,1,1,1,2,1,2,6,1, , , , , , , , , , , , , , , , ,37,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,5,5, , , , , , , , ,29,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,1,6, , , , , , , , ,39,2
 , , , , , , , ,1,1,1,2,1,2,2,5, , , , , , , , , , , , , , , , ,31,1
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,57,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,3,4,47,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,3, , , , , , , , ,36,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,5,43,2
 , , , , , , , ,1,1,1,2,1,2,1,5, , , , , , , , , , , , , , , , ,53,1
