aa_int1,aa_int2,aa_int3,aa_quiz1,aa_quiz2,aa_quiz3,aa_quiz4,aa_quiz5,aa_int4,aa_int5,aa_norms,aa_past,aa_regret,ai_int1,ai_int2,ai_int3,ai_quiz1,ai_quiz2,ai_quiz3,ai_quiz4,ai_quiz5,ai_int4,ai_int5,ai_norms,ai_past,ai_regret,ia_int1,ia_int2,ia_int3,ia_quiz1,ia_quiz2,ia_quiz3,ia_quiz4,ia_quiz5,ia_int4,ia_int5,ia_norms,ia_past,ia_regret,ii_int1,ii_int2,ii_int3,ii_quiz1,ii_quiz2,ii_quiz3,ii_quiz4,ii_quiz5,ii_int4,ii_int5,ii_norms,ii_past,ii_regret,ca_int1,ca_int2,ca_int3,ca_quiz1,ca_quiz2,ca_quiz3,ca_quiz4,ca_quiz5,ca_int4,ca_int5,ca_norms,ca_past,ca_regret,ci_int1,ci_int2,ci_int3,ci_quiz1,ci_quiz2,ci_quix3,ci_quiz4,ci_quiz5,ci_int4,ci_int5,ci_norms,ci_past,ci_regret,age,gender
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,4,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,34,1
1,1,1,1,1,2,1,1,1,1,5,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,2,2,6,37,2
1,1,1,1,1,2,1,1,1,1,4,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,3,3,3, , , , , , , , , , , , , ,27,2
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,1,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,63,2
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,4,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,3,6, , , , , , , , , , , , , , , , , , , , , , , , , , ,26,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,5,4,4, , , , , , , , , , , , , ,55,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,4,6,1, , , , , , , , , , , , , ,37,2
1,1,1,1,1,2,1,1,1,1,5,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26,1
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,5,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,2,1,6,61,2
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , ,29,2
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,6,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,6,6,6, , , , , , , , , , , , , ,29,1
1,1,1,1,1,2,1,1,1,1,5,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,5,1,6,47,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,2,1,4,24,1
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,4,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35,1
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,4,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,5,4,1, , , , , , , , , , , , , ,26,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,4,3,6, , , , , , , , , , , , , , , , , , , , , , , , , , ,50,2
1,1,1,1,1,2,1,1,1,1,4,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,62,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,3,2,4,33,2
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,1,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,1
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,5,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31,1
1,1,1,1,1,2,1,1,1,1,4,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,36,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,30,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,6,6,6, , , , , , , , , , , , , ,49,2
1,1,1,1,1,2,1,1,1,1,4,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,3,4,1, , , , , , , , , , , , , ,28,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , ,36,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,4,2,2,65,1
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,6,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,2,1,6,31,1
1,1,1,1,1,2,1,1,1,1,5,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,5,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,58,2
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,5,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35,2
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,3,3,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,63,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,5,6,2, , , , , , , , , , , , , ,53,2
1,1,1,1,1,2,1,1,1,1,3,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29,1
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,5,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,4,5,3, , , , , , , , , , , , , ,38,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,5,3,3,30,2
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,6,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,2
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,1
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,6,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,55,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,4,2,6, , , , , , , , , , , , , ,25,1
1,1,1,1,1,2,1,1,1,1,5,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , ,33,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,3,3,4,62,2
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,6,6,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,5,3,6, , , , , , , , , , , , , ,31,2
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,1,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31,2
1,1,1,1,1,2,1,1,1,1,6,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,36,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,59,2
1,1,1,1,1,2,1,1,1,1,4,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,2,1,6,29,1
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,4,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,3,5,1, , , , , , , , , , , , , ,23,2
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,1,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,6,6,6, , , , , , , , , , , , , ,75,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , ,43,2
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,4,5,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,41,2
1,1,1,1,1,2,1,1,1,1,5,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,42,1
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,1,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,3,3,5,25,2
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,3,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,54,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,4,5,5, , , , , , , , , , , , , ,39,2
1,1,1,1,1,2,1,1,1,1,6,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,55,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,5,2,5,21,2
1,1,1,1,1,2,1,1,1,1,5,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,4,6,3, , , , , , , , , , , , , ,42,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,2,2,4,42,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,2,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,25,1
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,5,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,54,2
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,4,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,4,6,1, , , , , , , , , , , , , ,41,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,3,1,4,43,2
1,1,1,1,1,2,1,1,1,1,4,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,39,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,36,1
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,6,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50,2
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,2,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , ,30,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,4,5,3, , , , , , , , , , , , , ,35,2
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,2,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30,1
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,6,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,1
1,1,1,1,1,2,1,1,1,1,5,6,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,1,1,6,42,2
1,1,1,1,1,2,1,1,1,1,5,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29,1
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,5,5,2, , , , , , , , , , , , , ,56,1
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,6,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32,2
1,1,1,1,1,2,1,1,1,1,6,6,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , ,36,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,4,5,2, , , , , , , , , , , , , ,25,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,3,3,5,24,2
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,4,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,54,1
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,5,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,40,2
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,6,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,2
