"norms","M_AP_Bvr","SD_AP_Bvr","N_AP_Bvrr","M_IP_Bvr","SD_IP_Bvr","N_IP_Bvr"
"Action norms",2.53703703703704,1.34182307642017,54,3.58490566037736,1.75886723013324,53
"Inaction norms",4.11538461538461,1.51662481502928,52,4.66,1.40857432627926,50
"Control norms",3.08510638297872,1.66589559715204,47,4.29545454545455,1.26820777137432,44
